Season,Id,Name,Position,Team,Conference,CountablePlays,AveragePPA All,AveragePPA Pass,AveragePPA Rush,AveragePPA FirstDown,AveragePPA SecondDown,AveragePPA ThirdDown,AveragePPA StandardDowns,AveragePPA PassingDowns,TotalPPA All,TotalPPA Pass,TotalPPA Rush,TotalPPA FirstDown,TotalPPA SecondDown,TotalPPA ThirdDown,TotalPPA StandardDowns,TotalPPA PassingDowns
2014,559752,Leonard Fournette,RB,LSU,SEC,174,0.15,0.834,0.117,0.112,0.188,0.094,0.137,0.227,26.096,6.673,19.422,10.728,12.985,0.752,20.422,5.673
2014,3125318,Blake Decker,QB,UNLV,Mountain West,531,0.152,0.131,0.235,0.015,0.05,0.469,-0.038,0.446,80.909,55.303,25.605,3.191,7.696,70.333,-12.268,93.176
2014,512737,David Cobb,RB,Minnesota,Big Ten,328,0.152,0.555,0.124,0.048,0.178,0.636,0.099,0.392,49.724,11.649,38.075,8.709,20.66,20.356,26.589,23.135
2014,546033,Anthony Jennings,QB,LSU,SEC,306,0.153,0.144,0.178,-0.033,0.156,0.356,-0.033,0.368,46.77,32.876,13.894,-3.389,13.922,38.802,-5.426,52.196
2014,530944,Patrick Towles,QB,Kentucky,SEC,488,0.154,0.141,0.198,-0.023,0.287,0.313,0.072,0.27,75.075,53.465,21.609,-4.453,41.546,40.126,20.618,54.456
2014,546046,Wendell Smallwood,RB,West Virginia,Big 12,185,0.155,0.222,0.136,0.064,0.046,0.748,0.122,0.27,28.714,9.324,19.39,5.932,2.778,22.441,17.377,11.337
2014,514200,Raheem Mostert,RB,Purdue,Big Ten,109,0.158,0.3,0.129,0.152,0.012,0.519,0.173,0.036,17.185,5.4,11.784,9.403,0.352,7.782,16.755,0.43
2014,533264,Chandler Whitmer,QB,Connecticut,FBS Independents,280,0.159,0.118,0.359,-0.097,0.237,0.243,-0.073,0.402,44.637,27.389,17.248,-9.518,23.025,19.705,-10.475,55.112
2014,512671,Tyler Ervin,RB,San José State,Mountain West,173,0.161,0.548,0.056,-0.069,0.064,1.657,0.004,0.684,27.875,20.279,7.596,-5.998,4.037,31.474,0.524,27.351
2014,518388,Mark Weisman,RB,Iowa,Big Ten,210,0.162,-0.1,0.171,-0.033,0.166,0.699,0.116,0.472,33.956,-0.697,34.653,-3.093,13.622,16.784,21.215,12.741
2014,546271,Brian Burrell,QB,Fresno State,Mountain West,487,0.164,0.105,0.503,-0.037,0.132,0.464,0.041,0.312,79.864,43.615,36.25,-6.15,21.301,68.275,10.866,68.998
2014,514440,Terrel Hunt,QB,Syracuse,ACC,188,0.165,0.035,0.567,0.058,0.201,0.36,0.074,0.303,31.041,4.968,26.073,3.864,13.498,17.99,8.322,22.719
2014,548467,Terrence Upshaw,RB,Appalachian State,Sun Belt,105,0.168,0.823,0.114,-0.102,0.233,1.532,0.002,0.701,17.681,6.581,11.1,-6.402,7.232,16.851,0.158,17.523
2014,531864,Colin Reardon,WR,Kent State,Mid-American,428,0.17,0.182,0.075,-0.105,0.31,0.43,0.01,0.395,72.856,69.243,3.613,-18.464,42.164,47.746,2.561,70.295
2014,517390,Karlos Williams,RB,Florida State,ACC,179,0.172,0.475,0.098,0.038,0.22,0.583,0.166,0.205,30.783,16.62,14.163,3.477,13.201,15.152,24.85,5.933
2014,546383,Cameron Artis-Payne,RB,Auburn,SEC,314,0.172,0.778,0.137,0.074,0.127,0.579,0.127,0.506,53.923,13.218,40.704,13.73,10.121,27.218,35.208,18.715
2014,3125403,Brian Hill,RB,Wyoming,Mountain West,136,0.172,0.838,0.102,0.043,-0.004,1.01,0.118,0.399,23.404,10.892,12.511,3.061,-0.15,16.158,13.02,10.384
